per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,nom,c_res,par,sex,eda,f_nac,alf,i_niv,i_anio,a_esc,e_con,c_act,ocu,a_eco,pos,i_per,ing,upm,elegido,factor,fac_p18
622,2,12A215,1,40023,2,1,0,3,-,1,3,2,15,2006-08-06,1,4,1,1,6,6, , , , ,,101180, ,7587,0
622,2,12A215,1,40023,2,1,0,5,-,1,3,1,9,2012-08-17,1,2,3,1, ,, , , , ,,101180, ,7587,0
622,2,12A215,1,40023,2,1,0,1,-,1,1,1,37,1985-01-16,1,8,1,1,5,1,1,2,3,3,12000,101180, ,7587,0
622,2,12A215,1,40023,2,1,0,4,-,1,3,1,14,2008-04-19,1,3,1,1,6,6, , , , ,,101180, ,7587,0
622,2,12A215,1,40023,2,1,0,2,-,1,2,2,33,1988-09-09,1,7,4,1,5,1,1,2,3,2,5000,101180,1,7587,15516
622,2,12A215,1,40023,1,1,0,3,-,1,3,1,21,2000-11-21,1,7,4,1,6,6, , , , ,,101180, ,7587,0
622,2,12A215,1,40023,4,1,0,1,-,1,1,2,58,1964-05-10,1,3,3,2,4,7, , , , ,,101180,1,7587,15516
622,2,12A215,1,40023,1,1,0,1,-,1,1,2,52,1969-07-11,1,7,1,1,4,1,1,5,3,2,4000,101180,1,7587,23274
622,2,12A215,1,40023,3,1,0,3,-,1,7,1,4,2018-03-03, ,, , , ,, , , , ,,101180, ,7587,0
622,2,12A215,1,40023,3,1,0,2,-,1,6,1,30,1991-11-02,1,4,3,2,6,1,7,4,3,1,1700,101180, ,7587,0
622,2,12A215,1,40023,3,1,0,1,-,1,1,1,27,1995-05-20,1,4,3,2,6,1,7,2,3,1,1400,101180,1,7587,15516
622,2,12A215,1,40023,4,1,0,2,-,1,3,1,32,1990-03-12,1,3,3,2,2,1,5,5,3,1,2500,101180, ,7587,0
622,2,12A215,1,40023,1,1,0,2,-,1,3,2,26,1996-06-02,1,7,5,2,6,1,1,2,3,2,5200,101180, ,7587,0
622,6,12A201,1,40157,3,1,0,2,-,1,3,2,46,1975-10-09,1,6,3,2,6,1,3,5,3,2,4500,100809, ,7353,0
622,6,12A201,1,40157,3,1,0,3,-,1,5,1,23,1998-06-15,1,4,2,2,6,1,5,5,3,1,2200,100809,1,7353,30075
622,6,12A201,1,40157,2,1,0,1,-,1,1,2,58,1964-04-13,1,8,2,2,6,8, , , , ,,100809,1,7353,7519
622,6,12A201,1,40157,1,1,0,1,-,1,1,2,89,1933-03-27,1,2,6,2,4,7, , , , ,,100809,1,7353,7519
622,6,12A201,1,40157,4,1,0,1,-,1,1,1,71,1950-07-16,1,2,6,2,5,8, , , , ,,100809, ,7353,0
622,6,12A201,1,40157,4,1,0,2,-,1,2,2,69,1952-07-16,1,2,6,2,5,7, , , , ,,100809,1,7353,15038
622,6,12A201,1,40157,3,1,0,1,-,1,1,1,77,1944-10-04,1,2,6,2,4,8, , , , ,,100809, ,7353,0
622,6,12A201,1,40157,3,1,0,4,-,1,5,1,21,2000-12-19,1,3,3,2,6,1,4,4,2,1,1600,100809, ,7353,0
622,5,13A202,1,40190,3,1,0,1,-,1,1,1,53,1969-04-05,1,7,5,2,5,1,1,5,3,2,7200,101965, ,12099,0
622,5,13A202,1,40190,3,1,0,2,-,1,2,2,47,1975-02-05,1,8,2,2,5,1,1,5,3,2,5500,101965,1,12099,24513
622,5,13A202,1,40190,4,1,0,2,-,1,3,2,11,2011-01-15,1,2,4,1, ,, , , , ,,101965, ,12099,0
622,5,13A202,1,40190,4,1,0,1,-,1,1,2,44,1978-03-22,1,8,2,2,6,1,1,7,3,2,10000,101965,1,12099,12256
622,5,13A202,1,40190,3,1,0,3,-,1,3,2,6,2016-03-23,1,1,2,1, ,, , , , ,,101965, ,12099,0
622,5,13A202,1,40190,2,1,0,2,-,1,2,2,43,1978-12-18,1,9,1,2,5,1,1,5,3,2,20000,101965, ,12099,0
622,5,13A202,1,40190,2,1,0,1,-,1,1,1,43,1978-09-28,1,8,2,2,5,1,1,5,3,2,40000,101965,1,12099,24513
622,5,13A202,1,40190,2,1,0,4,-,1,3,2,5,2016-08-20,2,1,2,1, ,, , , , ,,101965, ,12099,0
622,5,13A202,1,40190,2,1,0,3,-,1,3,1,8,2013-10-07,1,2,1,1, ,, , , , ,,101965, ,12099,0
622,4,11B203,1,40240,2,1,0,3,-,1,3,1,15,2007-03-23,1,3,2,1,6,6, , , , ,,101258, ,7280,0
